date,return,cumulative_return
2021-03-31,0.39120290783314327,1.3912029078331432
2021-06-30,0.06296906399827144,1.4788056527710696
2021-09-30,-0.00545157425147009,1.4707438339514942
2021-12-31,0.02825983813848868,1.5123068166421436
2022-03-31,-0.024137465582674076,1.4758035629050006
2022-06-30,-0.11667038173552612,1.3036209978542246
2022-09-30,-0.07276125456826052,1.2087678985688235
2022-12-31,0.09427457537024915,1.3227239789275878
2023-03-31,0.03437675557815567,1.3681949378485467
2023-06-30,0.009009690928090258,1.3805219513679399
2023-09-30,-0.03485945785636594,1.332397704584441
2023-12-31,0.08531329963902257,1.4460689491939995
2024-03-31,0.09396363052581524,1.5819468376509183
2024-06-30,-0.019161449593387465,1.5516344430618514
2024-09-30,0.07973573504701698,1.6753551559036568
2024-12-31,-0.004623161060793963,1.6676097191838826
